YEAR,MO,DY,ALLSKY_SFC_SW_DWN
2020,1,1,3.7769
2020,1,2,2.0551
2020,1,3,1.3867
2020,1,4,2.6772
2020,1,5,4.0454
2020,1,6,4.5941
2020,1,7,4.4582
2020,1,8,4.3274
2020,1,9,4.1599
2020,1,10,4.1846
2020,1,11,3.6761
2020,1,12,3.3655
2020,1,13,2.4883
2020,1,14,4.2588
2020,1,15,4.8338
2020,1,16,4.8926
2020,1,17,5.0047
2020,1,18,5.0234
2020,1,19,4.8137
2020,1,20,4.1244
2020,1,21,4.6555
2020,1,22,5.0232
2020,1,23,3.9919
2020,1,24,4.3555
2020,1,25,4.7827
2020,1,26,4.6661
2020,1,27,4.2576
2020,1,28,4.0925
2020,1,29,1.7014
2020,1,30,2.6167
2020,1,31,4.0063
2020,2,1,4.7851
2020,2,2,4.5511
2020,2,3,5.4146
2020,2,4,5.4427
2020,2,5,4.6606
2020,2,6,5.1701
2020,2,7,4.5046
2020,2,8,3.7692
2020,2,9,3.013
2020,2,10,5.477
2020,2,11,5.6659
2020,2,12,5.543
2020,2,13,5.0395
2020,2,14,4.8619
2020,2,15,4.8845
2020,2,16,4.9762
2020,2,17,5.4072
2020,2,18,5.442
2020,2,19,5.2886
2020,2,20,5.3621
2020,2,21,5.9582
2020,2,22,5.736
2020,2,23,5.5476
2020,2,24,4.9243
2020,2,25,3.349
2020,2,26,0.8988
2020,2,27,5.567
2020,2,28,6.2294
2020,2,29,6.2544
2020,3,1,6.3605
2020,3,2,5.9635
2020,3,3,4.8766
2020,3,4,3.7716
2020,3,5,5.0621
2020,3,6,2.6278
2020,3,7,2.7574
2020,3,8,5.4036
2020,3,9,6.5186
2020,3,10,6.7217
2020,3,11,6.5407
2020,3,12,6.2486
2020,3,13,6.2832
2020,3,14,6.629
2020,3,15,6.1406
2020,3,16,5.6414
2020,3,17,6.2026
2020,3,18,6.2014
2020,3,19,5.9671
2020,3,20,5.945
2020,3,21,5.9004
2020,3,22,4.8175
2020,3,23,6.2076
2020,3,24,5.8414
2020,3,25,6.4714
2020,3,26,6.113
2020,3,27,6.7812
2020,3,28,6.7838
2020,3,29,6.7738
2020,3,30,7.135
2020,3,31,7.2854
2020,4,1,7.2247
2020,4,2,6.743
2020,4,3,5.8733
2020,4,4,5.1924
2020,4,5,3.6209
2020,4,6,6.4111
2020,4,7,6.7505
2020,4,8,3.8815
2020,4,9,4.9682
2020,4,10,7.0325
2020,4,11,7.1071
2020,4,12,6.6874
2020,4,13,6.9091
2020,4,14,6.9974
2020,4,15,6.6833
2020,4,16,6.3672
2020,4,17,4.3409
2020,4,18,6.1841
2020,4,19,7.091
2020,4,20,6.0655
2020,4,21,2.0335
2020,4,22,4.0894
2020,4,23,5.4871
2020,4,24,5.0112
2020,4,25,4.2526
2020,4,26,2.9822
2020,4,27,5.843
2020,4,28,3.7697
2020,4,29,5.4638
2020,4,30,3.9994
2020,5,1,4.398
2020,5,2,5.9496
2020,5,3,4.3368
2020,5,4,5.8529
2020,5,5,6.4807
2020,5,6,4.8893
2020,5,7,7.6337
2020,5,8,7.673
2020,5,9,7.6742
2020,5,10,7.4141
2020,5,11,7.0457
2020,5,12,6.2328
2020,5,13,6.263
2020,5,14,7.4602
2020,5,15,6.7922
2020,5,16,7.0987
2020,5,17,6.618
2020,5,18,6.6826
2020,5,19,5.933
2020,5,20,3.2174
2020,5,21,3.4224
2020,5,22,5.363
2020,5,23,6.4075
2020,5,24,6.3542
2020,5,25,5.4175
2020,5,26,5.665
2020,5,27,1.7974
2020,5,28,3.9293
2020,5,29,5.2474
2020,5,30,3.8527
2020,5,31,5.6366
2020,6,1,4.692
2020,6,2,3.2453
2020,6,3,3.9818
2020,6,4,3.0948
2020,6,5,5.6702
2020,6,6,5.4924
2020,6,7,5.2675
2020,6,8,5.2121
2020,6,9,5.4312
2020,6,10,4.4966
2020,6,11,5.3261
2020,6,12,3.1834
2020,6,13,2.981
2020,6,14,6.1147
2020,6,15,5.137
2020,6,16,4.6512
2020,6,17,0.9518
2020,6,18,1.7064
2020,6,19,3.3235
2020,6,20,6.1402
2020,6,21,4.8262
2020,6,22,5.9381
2020,6,23,5.5666
2020,6,24,6.5731
2020,6,25,6.2102
2020,6,26,5.5193
2020,6,27,2.941
2020,6,28,3.3826
2020,6,29,5.8649
2020,6,30,5.9206
2020,7,1,6.1944
2020,7,2,4.6778
2020,7,3,6.6816
2020,7,4,6.061
2020,7,5,3.9655
2020,7,6,4.145
2020,7,7,5.6868
2020,7,8,3.9665
2020,7,9,3.4255
2020,7,10,4.4599
2020,7,11,2.4622
2020,7,12,3.3542
2020,7,13,3.721
2020,7,14,5.5471
2020,7,15,6.3031
2020,7,16,6.3161
2020,7,17,6.3168
2020,7,18,4.1261
2020,7,19,2.4902
2020,7,20,2.6347
2020,7,21,2.9705
2020,7,22,3.2407
2020,7,23,3.3986
2020,7,24,6.0422
2020,7,25,7.0049
2020,7,26,6.335
2020,7,27,5.9465
2020,7,28,5.0621
2020,7,29,5.641
2020,7,30,5.4206
2020,7,31,6.6953
2020,8,1,5.9904
2020,8,2,5.5961
2020,8,3,5.8385
2020,8,4,4.627
2020,8,5,5.3482
2020,8,6,5.1991
2020,8,7,4.5242
2020,8,8,5.1043
2020,8,9,5.3026
2020,8,10,5.6863
2020,8,11,2.724
2020,8,12,4.0682
2020,8,13,6.4531
2020,8,14,6.0934
2020,8,15,3.9972
2020,8,16,4.0421
2020,8,17,2.1377
2020,8,18,3.0871
2020,8,19,3.7087
2020,8,20,2.0227
2020,8,21,3.8998
2020,8,22,1.722
2020,8,23,4.6015
2020,8,24,6.294
2020,8,25,4.2166
2020,8,26,4.4758
2020,8,27,4.806
2020,8,28,5.4449
2020,8,29,5.5903
2020,8,30,4.5082
2020,8,31,3.4922
2020,9,1,4.0601
2020,9,2,5.8231
2020,9,3,6.491
2020,9,4,6.4802
2020,9,5,5.333
2020,9,6,5.6134
2020,9,7,5.5409
2020,9,8,5.5351
2020,9,9,4.9284
2020,9,10,4.4294
2020,9,11,4.6214
2020,9,12,4.7414
2020,9,13,3.5258
2020,9,14,4.3334
2020,9,15,2.2294
2020,9,16,5.0909
2020,9,17,4.927
2020,9,18,6.2069
2020,9,19,6.3233
2020,9,20,3.8803
2020,9,21,4.2163
2020,9,22,1.7513
2020,9,23,2.3206
2020,9,24,1.601
2020,9,25,2.3071
2020,9,26,2.6832
2020,9,27,4.1969
2020,9,28,5.5572
2020,9,29,4.6956
2020,9,30,3.7238
2020,10,1,4.974
2020,10,2,5.3335
2020,10,3,5.5738
2020,10,4,4.9354
2020,10,5,3.7222
2020,10,6,3.9439
2020,10,7,5.0383
2020,10,8,5.6026
2020,10,9,5.8418
2020,10,10,5.4115
2020,10,11,5.827
2020,10,12,5.219
2020,10,13,5.6162
2020,10,14,5.3986
2020,10,15,5.6602
2020,10,16,5.7146
2020,10,17,4.721
2020,10,18,2.9647
2020,10,19,5.1449
2020,10,20,4.2619
2020,10,21,3.4265
2020,10,22,0.4133
2020,10,23,0.4006
2020,10,24,3.067
2020,10,25,4.0207
2020,10,26,5.2531
2020,10,27,5.4161
2020,10,28,5.3407
2020,10,29,5.2958
2020,10,30,4.8934
2020,10,31,2.8394
2020,11,1,2.2126
2020,11,2,2.3659
2020,11,3,3.0091
2020,11,4,2.9518
2020,11,5,5.0321
2020,11,6,5.3482
2020,11,7,5.4806
2020,11,8,5.3522
2020,11,9,5.3477
2020,11,10,5.2142
2020,11,11,5.2193
2020,11,12,5.1953
2020,11,13,5.0976
2020,11,14,5.2133
2020,11,15,5.1365
2020,11,16,5.0146
2020,11,17,4.7268
2020,11,18,4.5878
2020,11,19,4.3961
2020,11,20,4.5742
2020,11,21,2.6062
2020,11,22,4.067
2020,11,23,4.8192
2020,11,24,3.9394
2020,11,25,4.1362
2020,11,26,4.6606
2020,11,27,4.9891
2020,11,28,4.6723
2020,11,29,4.9054
2020,11,30,4.8847
2020,12,1,4.913
2020,12,2,4.7635
2020,12,3,4.5614
2020,12,4,4.3663
2020,12,5,4.3471
2020,12,6,4.0692
2020,12,7,4.0942
2020,12,8,3.8244
2020,12,9,3.0118
2020,12,10,3.409
2020,12,11,3.408
2020,12,12,3.829
2020,12,13,4.0577
2020,12,14,4.4153
2020,12,15,4.3678
2020,12,16,4.2727
2020,12,17,4.242
2020,12,18,4.2266
2020,12,19,4.6234
2020,12,20,4.6973
2020,12,21,4.6522
2020,12,22,4.4016
2020,12,23,4.4779
2020,12,24,4.577
2020,12,25,4.6939
2020,12,26,4.7616
2020,12,27,4.7959
2020,12,28,4.7722
2020,12,29,4.7064
2020,12,30,4.771
2020,12,31,4.8353
2021,1,1,4.8202
2021,1,2,4.7626
2021,1,3,4.711
2021,1,4,4.7566
2021,1,5,4.7333
2021,1,6,4.801
2021,1,7,4.6927
2021,1,8,4.686
2021,1,9,4.4215
2021,1,10,3.9934
2021,1,11,3.3794
2021,1,12,4.0745
2021,1,13,4.1448
2021,1,14,3.4812
2021,1,15,4.0306
2021,1,16,3.9214
2021,1,17,4.2125
2021,1,18,4.5413
2021,1,19,3.7373
2021,1,20,2.0354
2021,1,21,3.1356
2021,1,22,4.5566
2021,1,23,4.3975
2021,1,24,4.6183
2021,1,25,4.7755
2021,1,26,4.9176
2021,1,27,5.1734
